ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
3;FIAT;C;4;;06/1999;725.049;58.198;15.415;2;48.658;-244.906;-89.599;-341.774;0;-28.925;142.118;;1999;6;Resultado;;;;;
4;ALFA;C;3;;06/1999;495.950;96.260;-3.779;74;0;-268.468;-104.679;-148.307;0;-30.406;36.645;;1999;6;Resultado;;;;;
5;FORD;C;4;;06/1999;783.243;1.340;3.226;0;0;-111.026;-198.362;-343.244;0;-31.277;103.900;;1999;6;Resultado;;;;;
6;ICATU;C;3;;06/1999;529;404.524;-46.535;26.569;0;-148.584;-116.625;0;0;0;119.878;;1999;6;Resultado;;;;;
7;GM;C;4;;06/1999;565.120;21.582;-11.529;34;1.414;-144.717;-119.552;-223.320;0;-48.432;40.600;;1999;6;Resultado;;;;;
8;BANCOCIDADE;C;3;;06/1999;234.948;139.322;-12.917;43.294;13.659;-100.406;-126.872;-39.071;0;-24.803;127.154;;1999;6;Resultado;;;;;
9;VOLKSWAGEN;C;4;;06/1999;450.735;4.145;0;0;0;-123.481;-51.315;-198.701;0;-16.586;64.797;;1999;6;Resultado;;;;;
10;BRDE;I;2;;06/1999;176.812;57.770;217;0;0;0;-136.009;-266;0;-108.300;-9.776;;1999;6;Resultado;;;;;
11;MULTI;I;4;;06/1999;51.288;287.417;85.166;22.743;31;-20.124;-193.732;0;0;-9.565;223.224;;1999;6;Resultado;;;;;
12;REPUBLIC NATION;C;4;;06/1999;23.539;514.228;67.918;0;182.188;-33.813;-570.639;0;-7.934;0;175.487;;1999;6;Resultado;;;;;
13;LIBERAL;C;4;;06/1999;176;260.582;-16.788;26.749;0;-47.909;-146.039;0;0;-21;76.750;;1999;6;Resultado;;;;;
14;DAIMLERCHRYSLER;C;4;;06/1999;350.861;5.245;3.542;0;1.052;-7.023;-157.638;-162.994;0;-26.356;6.689;;1999;6;Resultado;;;;;
15;MATRIX;C;3;;06/1999;6.642;219.716;-19.599;21.762;0;-34.498;-53.880;0;0;-615;139.528;;1999;6;Resultado;;;;;
16;DESENBANCO;I;2;;06/1999;51.461;29.635;0;0;0;-1;-36.802;0;0;-4.045;40.248;;1999;6;Resultado;;;;;
17;BDMG;I;2;;06/1999;61.241;20.179;0;0;0;-97;-56.383;-2;0;-474;24.464;;1999;6;Resultado;;;;;
18;INDUSVAL;C;3;;06/1999;19.624;9.795;-6.509;4.455;9;-12.744;-3.749;0;0;-1.451;9.430;;1999;6;Resultado;;;;;
19;REDE;I;3;;06/1999;1.348;1.717;-300;0;0;-2.786;-265;0;0;-460;-746;;1999;6;Resultado;;;;;
20;BANDES;I;2;2;06/1999;10.403;18.805;153;0;0;-503;-11.245;0;0;-7.570;10.043;;1999;6;Resultado;;;;;
21;BRJ;I;3;;06/1999;26.349;206;-57;195;11.083;-61;-26.966;0;0;-149;10.600;;1999;6;Resultado;;;;;
22;MERRILL LYNCH;C;4;;06/1999;0;10.887;15.084;0;0;-1.905;0;-2;0;0;24.064;;1999;6;Resultado;;;;;
23;EUROINVEST;I;5;2;06/1999;430;9.791;0;0;0;-12.873;-3.178;0;0;107;-5.723;;1999;6;Resultado;;;;;
24;GRAPHUS;C;4;;06/1999;29;12.766;888;6.695;0;-10.385;-184;0;0;57;9.866;;1999;6;Resultado;;;;;
25;STOCK;C;3;;06/1999;414;10.079;-725;0;0;-7.024;0;0;0;-57;2.687;;1999;6;Resultado;;;;;
26;RENDIMENTO;I;3;;06/1999;7.216;26.064;-22.518;57.225;0;-4.945;-4.271;0;0;-2.295;56.476;;1999;6;Resultado;;;;;
27;VOLVO;I;4;2;06/1999;24.988;14.578;0;0;0;-2.301;-29.241;0;0;3.896;11.920;;1999;6;Resultado;;;;;
28;SOCOPA;C;3;;06/1999;9.620;7.712;-8.929;5.487;0;-4.654;-7.431;0;0;-143;1.662;;1999;6;Resultado;;;;;
29;PORTO SEGURO;I;3;3;07/1997;4;1.873;0;0;0;-2.117;0;0;0;0;-240;;1999;6;Resultado;;;;;
30;TENDENCIA;C;3;;06/1999;7;9.497;-528;474;0;-820;-7;0;0;0;8.623;;1999;6;Resultado;;;;;
31;FENICIA;C;3;;06/1999;9.600;5.241;7.650;249;0;-1.896;-3.774;-37;0;-5.079;11.954;;1999;6;Resultado;;;;;
32;ARBI;C;3;;06/1999;1.925;6.734;1.418;0;0;-6.359;-712;0;-5;-14.306;-11.305;;1999;6;Resultado;;;;;
33;PORTO REAL;I;3;;06/1999;10.744;1.309;-7.058;0;450;-4.524;-131;0;0;-1.001;-211;;1999;6;Resultado;;;;;
34;PATENTE;C;3;;06/1999;511;85.947;2.274;6.827;0;-84.843;0;0;0;-10;10.706;;1999;6;Resultado;;;;;
35;FONTE;C;3;;06/1999;1.613;4.094;-10.563;0;0;-32.774;-2.502;0;-3.364;0;-43.496;;1999;6;Resultado;;;;;
