ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
112;UNION;I;4;;12/1998;26.953;1.087;0;0;13.258;0;14.345;0;0;14;29;8.574;1998;12;Passivo;0;3.990;29.046;-54;
113;RIBEIRAO PRETO;I;3;;12/1998;35.327;151;0;0;17.079;0;17.230;0;0;516;0;13.389;1998;12;Passivo;0;4.192;16.804;1.916;
114;LUSO BRASILEIRO;I;3;;12/1998;37.720;1.243;0;0;29.228;0;30.471;1.015;0;98;674;3.810;1998;12;Passivo;0;1.652;14.716;162;
115;CEDULA;I;3;;12/1998;28.938;944;0;0;26.392;0;27.337;0;0;129;0;0;1998;12;Passivo;0;1.472;20.414;530;
116;EXTERIBANK;I;4;;12/1998;13.692;13;0;1.994;4.942;0;6.948;0;0;0;0;0;1998;12;Passivo;0;6.743;29.462;2.419;
117;GERDAU;I;3;2;12/1998;30.220;55;0;2.537;23.696;0;26.289;1.877;0;354;0;0;1998;12;Passivo;0;1.701;12.835;599;
118;THECA;C;3;;12/1998;23.062;0;0;0;0;0;0;0;0;0;0;3;1998;12;Passivo;0;23.058;15.073;474;
119;MATONE;I;3;2;12/1998;27.818;1.736;0;75;23.440;0;25.251;0;0;142;0;0;1998;12;Passivo;0;2.424;9.735;1.192;
120;OPPORTUNITY;I;3;2;12/1998;306.426;0;0;0;0;0;0;297.912;0;0;0;0;1998;12;Passivo;0;8.514;28.538;4.189;
121;BONSUCESSO;I;3;2;12/1998;22.617;923;0;1.454;18.926;0;21.304;0;0;0;0;0;1998;12;Passivo;0;1.314;12.048;881;
122;PRIMUS;C;3;;12/1998;23.204;29;0;0;3.239;0;3.268;11.231;0;0;0;0;1998;12;Passivo;0;8.705;15.315;-231;
123;DESTAK;I;3;2;12/1998;9.206;39;0;0;4.692;0;4.731;380;0;1;0;0;1998;12;Passivo;0;4.093;15.759;959;
124;PLANIBANC;C;5;;12/1998;4.857;3;0;0;0;0;3;0;0;0;0;0;1998;12;Passivo;0;4.854;17.425;-372;
125;LA REPUBLICA;I;4;;12/1998;18.058;418;0;0;0;0;418;0;0;81;60;5.752;1998;12;Passivo;0;11.747;1.322;-8.707;
126;BANER;I;2;;12/1998;33.923;0;0;0;1;0;1;0;0;0;0;4.541;1998;12;Passivo;0;29.381;-18.465;-6.859;
127;BANCAP;I;3;2;12/1998;3.878;2.254;0;0;0;0;2.254;0;0;164;0;0;1998;12;Passivo;0;1.460;10.602;505;
128;HISPANO;I;4;;12/1998;419;0;0;0;0;0;0;0;0;8;0;0;1998;12;Passivo;0;412;7.807;-805;
1;BNDES;I;1;;12/1998;68.355.819;338.338;0;0;0;0;338.338;0;0;0;3;42.816.900;1998;12;Passivo;0;25.200.578;10.315.797;-268.231;
2;FIAT;C;4;;12/1998;4.031.821;0;0;768.486;1.492.932;0;2.261.418;35.661;0;0;0;167.349;1998;12;Passivo;0;1.567.392;403.087;81.876;
3;CCF BRASIL;C;4;;12/1998;3.574.361;877;0;10.126;101.321;0;112.324;305.799;357.078;6.919;23.274;1.018.087;1998;12;Passivo;0;1.750.880;486.069;15.091;
4;BRI;C;3;;12/1998;2.428.227;0;0;559.758;623.315;0;1.183.072;151.278;233.914;0;0;357.052;1998;12;Passivo;0;502.911;685.064;37.023;
5;GM;C;4;;12/1998;2.398.263;0;0;1.048.042;68.491;0;1.116.533;0;0;0;0;335.260;1998;12;Passivo;0;946.470;234.130;5.445;
6;FORD;C;4;;12/1998;2.378.358;0;0;651.221;0;0;651.221;0;169.645;131;0;417.303;1998;12;Passivo;0;1.140.058;202.380;26.673;
7;VOLKSWAGEN;C;4;;12/1998;1.892.040;0;0;909.067;0;0;909.067;0;0;13.681;0;79.418;1998;12;Passivo;0;889.874;168.507;11.421;
8;BRDE;I;2;;12/1998;1.429.089;0;0;0;0;0;0;0;0;0;0;1.382.408;1998;12;Passivo;0;46.681;455.642;-31.870;
9;BANCOCIDADE;C;3;;12/1998;1.935.089;58.505;0;135;603.124;49;661.813;234.372;456.004;29.412;6.914;317.229;1998;12;Passivo;0;229.344;174.468;-8.089;
10;ICATU;C;3;;12/1998;1.850.469;379;0;15.033;384.026;0;399.438;1.171.853;0;1.913;1.146;0;1998;12;Passivo;0;276.120;292.515;21.336;
11;REPUBLIC NATION;C;4;;12/1998;1.225.352;0;0;220.740;12.860;0;233.600;3.122;0;6;0;970.383;1998;12;Passivo;0;18.241;125.217;17.439;
12;DESENBANCO;I;2;;12/1998;798.889;998;0;0;0;0;998;0;0;0;0;369.499;1998;12;Passivo;0;428.392;89.552;11.906;
13;MATRIX;C;3;;12/1998;775.910;2.139;0;8.851;54.107;0;65.097;489.972;0;215;167;69.938;1998;12;Passivo;0;150.522;105.421;11.504;
14;MULTI;I;4;;12/1998;679.275;55;0;0;110.375;0;110.430;17.061;0;0;0;396.544;1998;12;Passivo;0;155.239;165.958;20.512;
