ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
7;GM;C;4;;12/1997;2.052.625;2.906;70.560;413;36.663;187;921.112;-29.228;116.454;4.674;919.876;9.009;1997;12;Ativo;
8;ICATU;C;3;;12/1997;1.802.140;33.505;9.241;1.506.186;26.343;0;30.627;0;140.845;610;0;54.781;1997;12;Ativo;
9;BRDE;I;2;;12/1997;1.769.526;140;211.750;20.786;0;0;1.508.039;-6.820;25.180;6.989;948;2.513;1997;12;Ativo;
10;VOLKSWAGEN;C;4;;12/1997;1.676.332;8.633;33.172;0;0;0;908.429;-56.335;47.807;34.264;691.639;8.724;1997;12;Ativo;
11;BDMG;I;2;;12/1997;1.490.468;4.028;44.198;23.614;0;0;387.865;-1.292;441.660;559.889;0;30.506;1997;12;Ativo;
12;FORD;C;4;;12/1997;1.428.168;31.598;9.972;1;3.215;0;671.755;-22.749;47.453;12.696;671.915;2.313;1997;12;Ativo;
13;MATRIX;C;3;;12/1997;792.880;2.870;18.449;473.703;11.434;0;6.639;0;271.719;20;0;8.046;1997;12;Ativo;
14;MULTI;I;4;;12/1997;670.524;7.454;201.631;348.299;21.132;0;5.567;0;82.002;2.012;0;2.427;1997;12;Ativo;
15;FENICIA;C;3;;12/1997;678.365;2.717;77.015;54.618;64.077;126;244.118;-2.377;170.817;24.994;-11;42.272;1997;12;Ativo;
16;MULTIPLIC;C;5;;12/1997;619.239;127;216.206;291.598;261;0;0;0;80.680;1.576;0;28.791;1997;12;Ativo;
17;DESENBANCO;I;2;;12/1997;490.346;1.377;5.638;6;10.441;0;451.369;-864;12.318;3.252;0;6.808;1997;12;Ativo;
18;FONTE;C;3;;12/1997;556.710;12.711;221.010;169.192;1.151;0;49.547;18;68.920;233;0;33.928;1997;12;Ativo;
19;BADESC;I;2;;12/1997;323.784;83;8.315;4.821;0;0;304.310;-1.233;2.712;4.149;0;627;1997;12;Ativo;
20;RENDIMENTO;C;3;;12/1997;348.889;1.073;66.103;144.131;14.474;0;69.156;-121;39.566;559;0;13.949;1997;12;Ativo;
21;MARKA;I;3;;12/1997;295.398;988;21.861;187.554;8.346;1.958;16.747;0;16.544;26;0;41.373;1997;12;Ativo;
22;BANDES;I;2;2;12/1997;256.458;76;15.404;106.913;0;0;131.753;-1.856;1.730;183;0;2.255;1997;12;Ativo;
23;PATRIMONIO;I;3;;12/1997;276.247;3.117;25.763;138.761;3.108;0;0;0;65.434;3;0;40.062;1997;12;Ativo;
24;REPUBLIC NATION;I;4;;12/1997;339.742;54;198.288;121.118;15.162;0;0;0;4.566;0;0;554;1997;12;Ativo;
25;INTER-ATLANTICO;I;5;2;12/1997;188.236;0;0;0;0;0;0;0;124;0;0;188.112;1997;12;Ativo;
26;INDUSVAL;C;3;;12/1997;180.126;5.588;9.273;44.781;7.764;0;71.309;-404;20.950;9.376;0;11.490;1997;12;Ativo;
27;BRJ;I;3;;12/1997;166.362;606;1.091;168;20.669;0;133.711;-93;1.195;2.352;0;6.665;1997;12;Ativo;
28;EUROINVEST;I;5;2;12/1997;164.395;129;40.867;1.702;7;0;3;0;92.705;137;0;28.845;1997;12;Ativo;
29;BANCO AXIAL;I;3;2;12/1997;162.743;55;0;151.835;0;0;54;0;10.110;12;0;677;1997;12;Ativo;
30;PATENTE;C;3;;12/1997;945.733;280;785.390;117.943;11;0;1.420;-13;18.268;1.279;0;21.155;1997;12;Ativo;
31;TRANSBANCO;I;3;2;12/1997;143.913;265;981;29.483;11.879;0;87.926;-1.877;1.752;8.215;0;5.288;1997;12;Ativo;
32;SOCOPA;C;3;;12/1997;141.453;2.859;1.798;56.719;4.103;32;37.568;-376;24.755;532;0;13.462;1997;12;Ativo;
33;LIBERAL;C;4;;12/1997;148.767;394;35.854;20.340;1.628;305;23;-7;74.329;92;0;15.810;1997;12;Ativo;
34;EQUATORIAL;I;3;2;12/1997;118.598;122;45.687;18.840;9.968;0;39.484;0;3.213;9;0;1.275;1997;12;Ativo;
35;STOCK;C;3;;12/1997;1.337.116;88;1.238.858;49.717;16;0;4.909;-1.042;30.542;1.229;0;12.799;1997;12;Ativo;
36;TENDENCIA;I;3;2;12/1997;100.727;356;26.014;10.542;2;0;1.205;0;3.282;1;0;59.325;1997;12;Ativo;
37;BERON;I;2;;12/1997;88.681;1.135;34.900;1.600;1.485;1;23.960;-583;15.714;1.630;0;8.840;1997;12;Ativo;
38;HEXABANCO;I;3;;12/1997;83.901;870;17.516;3.564;5.111;0;37.095;-1.434;12.662;2.689;0;5.827;1997;12;Ativo;
39;BCR;I;3;2;12/1997;85.453;199;7.020;8.378;7.301;14;43.989;-1.050;9.676;2.738;0;7.187;1997;12;Ativo;
40;FITAL;I;3;;12/1997;79.375;852;69.423;0;9.019;0;0;0;47;0;0;33;1997;12;Ativo;
41;GRAPHUS;C;3;;12/1997;94.853;4.279;46.536;8.967;0;0;150;0;19.781;0;0;15.139;1997;12;Ativo;
