ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;ano;mes;relatorio
44;MARTINELLI;I;3;2;06/1996;SAO PAULO;SP;101.777;101.777;8.191;-13.965;76.915;85;4;1996;6;Resumo
45;BANACRE;I;2;;06/1996;RIO BRANCO;AC;97.354;127.354;6.405;-3.729;63.854;581;15;1996;6;Resumo
46;PATENTE;C;3;;06/1996;SAO PAULO;SP;94.947;1.794.928;36.744;3.525;18.754;67;2;1996;6;Resumo
47;EQUATORIAL;I;3;;06/1996;FORTALEZA;CE;89.417;90.975;19.585;861;55.351;36;3;1996;6;Resumo
48;OURINVEST;C;3;;06/1996;SAO PAULO;SP;86.171;86.171;18.703;560;49.517;61;1;1996;6;Resumo
49;BOREAL;I;3;2;06/1996;RIO DE JANEIRO;RJ;84.645;98.453;41.473;1.995;30.573;42;1;1996;6;Resumo
50;DIMENSAO;I;3;2;06/1996;RIO DE JANEIRO;RJ;82.506;82.506;37.485;6.752;3.266;58;2;1996;6;Resumo
51;VETOR;C;3;;06/1996;RIO DE JANEIRO;RJ;78.673;78.673;27.001;6.023;663;5;1;1996;6;Resumo
52;BATTISTELLA;I;3;;06/1996;SAO PAULO;SP;78.610;78.610;28.074;-7.240;500;36;4;1996;6;Resumo
53;ARBI;C;3;;06/1996;RIO DE JANEIRO;RJ;76.580;76.580;33.477;-11.953;440;14;1;1996;6;Resumo
54;HEXABANCO;I;3;;06/1996;SAO PAULO;SP;75.339;76.573;15.439;930;57.588;77;1;1996;6;Resumo
55;TENDENCIA;I;3;2;06/1996;SAO PAULO;SP;71.397;93.827;49.054;5.333;10.817;8;1;1996;6;Resumo
56;STOCK;I;3;2;06/1996;RIO DE JANEIRO;RJ;70.654;1.471.461;18.388;1.979;10.095;8;2;1996;6;Resumo
57;INVESTOR;C;3;;06/1996;RIO DE JANEIRO;RJ;69.471;345.163;9.709;541;13.082;;;1996;6;Resumo
