50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1994;;;;;;;;;;;;;;;Balancetes processados até: 31/08/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
130 ;INTERIOR                                              ;I;3  ;         ;12/1994;17.753;801;2.634;0;999;0;13.100;-53;23;0;0;248;
131 ;BANAP                                                 ;I;2  ;         ;12/1994;16.228;16;152;454;1.392;9.691;3.401;-164;85;7;0;1.196;
132 ;MATONE                                                ;I;3  ;2        ;12/1994;15.499;24;932;473;1.239;0;9.868;-7;227;159;0;2.586;
133 ;BANCNACION                                            ;I;4  ;         ;12/1994;16.388;948;2.525;534;1.185;0;3.092;-22;3.231;12;0;4.882;
134 ;LA REPUBLICA                                          ;I;4  ;         ;12/1994;13.844;609;7.019;60;502;0;3.394;-151;647;302;0;1.461;
135 ;CEDULA                                                ;I;3  ;2        ;12/1994;13.346;86;1.558;211;575;17;7.125;0;849;305;0;2.620;
136 ;CRUZEIRO                                              ;I;3  ;2        ;12/1994;13.226;55;2.858;8;833;0;5.098;0;807;1;0;3.567;
137 ;SANTOS NEVES                                          ;I;3  ;2        ;12/1994;13.089;147;281;2.202;523;0;2.236;-112;105;16;0;7.692;
138 ;CLASSICO                                              ;I;3  ;         ;12/1994;13.060;2.452;430;277;318;130;2.742;0;8;0;0;6.703;
139 ;PONTO 3                                               ;I;3  ;         ;12/1994;12.458;1;2.660;1.097;34;0;232;0;8;0;0;8.426;
140 ;FATOR                                                 ;I;3  ;2        ;12/1994;10.661;35;1;2.544;0;0;0;0;69;0;0;8.012;
141 ;POTTENCIAL                                            ;I;3  ;         ;12/1994;9.908;14;803;4.189;514;0;3.981;0;27;0;0;380;
142 ;GERDAU                                                ;I;3  ;2        ;12/1994;9.617;18;8.884;0;50;0;448;0;0;0;0;215;
143 ;PREMIER                                               ;I;3  ;         ;12/1994;8.357;25;862;0;704;0;6.348;0;72;24;0;323;
144 ;CREDIPLAN                                             ;I;3  ;         ;12/1994;7.062;109;703;103;729;103;4.487;-93;313;6;0;604;
145 ;BANCIONAL                                             ;I;3  ;2        ;12/1994;2.816;28;362;15;462;0;513;0;39;1;0;1.397;
146 ;EXTERIBANK                                            ;I;4  ;         ;12/1994;2.029;390;221;102;41;0;583;0;395;50;0;247;
Total 50 Maiores Bancos (Consolidado Bancario I)            ;;;;;;295.007.921;8.673.994;32.248.807;47.849.090;23.711.676;1.622.585;124.487.849;-965.547;28.071.461;2.125.138;185.767;26.675.074;
% de Participacao 50 maiores Bancos (Consolidado Bancario I);;;;;;67,1%;80,6%;48,8%;74,2%;60,8%;74,6%;78,3%;64,9%;63,1%;74,9%;1,9%;62,4%;
Total demais Bancos (Consolidado Bancario I)                ;;;;;;13.387.453;290.963;2.341.083;2.023.329;792.635;67.588;4.993.229;-40.625;1.788.510;80.699;3.865;1.039.047;
Total Consolidado Bancario I ( 146  Instituicoes )          ;;;;;;308.395.374;8.964.957;34.589.890;49.872.419;24.504.311;1.690.173;129.481.078;-1.006.172;29.859.971;2.205.837;189.632;27.714.121;
% de Participacao Consolidado Bancario I                    ;;;;;;70,2%;83,3%;52,3%;77,3%;62,8%;77,7%;81,4%;67,6%;67,2%;77,8%;2,0%;64,9%;
1   ;BNDES                                                 ;I;1  ;         ;12/1994;35.249.791;16.364;0;3.031.072;11.030.505;0;6.768.664;-67.832;4.957.211;133;0;9.513.674;
2   ;NACIONAL                                              ;I;3  ;2        ;12/1994;10.114.481;262.841;1.269.504;478.867;554.892;21.984;5.499.898;-63.068;1.386.434;25.058;0;615.060;
3   ;ECONOMICO                                             ;I;3  ;2        ;12/1994;6.610.749;116.963;660.688;1.184.312;640.987;939;2.736.987;-31.795;725.156;60.973;0;515.539;
4   ;NACIONAL                                              ;I;3  ;2        ;12/1994;5.134.496;18;3.490.257;1.111.536;17.034;0;165.134;-6.213;34.234;25;15.714;295.956;
5   ;GARANTIA                                              ;I;3  ;2        ;12/1994;3.520.197;376.001;1.391.493;750.404;762;0;46.058;0;753.163;619;0;201.698;
6   ;MULTIPLIC                                             ;I;5  ;2        ;12/1994;2.425.338;38.055;365.350;798.442;15.069;0;755.212;-2.588;242.115;3.104;0;210.580;
7   ;NOROESTE                                              ;I;3  ;2        ;12/1994;2.188.374;55.717;263.520;264.940;132.979;1.275;941.135;-3.545;310.878;10.432;0;211.042;
8   ;BAHIA                                                 ;I;3  ;2        ;12/1994;2.242.955;534.688;389.543;257.773;955;0;45.764;-2.601;888.673;1.041;0;127.120;
9   ;BANORTE                                               ;I;3  ;2        ;12/1994;1.615.155;16.639;102.134;235.765;181.989;17.068;780.014;-3.338;134.209;18.839;0;131.837;
10  ;BANCOCIDADE                                           ;I;5  ;2        ;12/1994;1.234.279;107.122;275.438;169.549;68.263;14;442.150;-10.186;70.181;4.721;0;67.638;
11  ;BISA                                                  ;I;3  ;2        ;12/1994;1.132.943;5.974;32.992;116.588;69.856;0;526.237;-222;258.976;8.755;0;111.893;
12  ;NORCHEM                                               ;I;5  ;2        ;12/1994;1.004.348;1.571;574.244;177.997;1.752;0;40.714;-1.781;162.392;1.206;0;46.252;
13  ;CCF BRASIL                                            ;I;4  ;2        ;12/1994;1.089.383;1.756;450.079;320.458;6.016;0;127.445;-1.525;124.716;171;-4.121;64.121;
14  ;REAL                                                  ;I;3  ;2        ;12/1994;986.351;0;112.714;226.753;26.468;0;304.094;-1.428;7.655;47;26.036;284.012;
15  ;ICATU                                                 ;I;3  ;         ;12/1994;879.541;3.375;216.589;306.401;5.199;0;90.983;-60;171.383;398;0;85.275;
16  ;BCN BARCLAYS                                          ;I;3  ;2        ;12/1994;706.459;13.578;173.546;58.539;8.312;0;194.702;-3.620;236.726;3.554;0;21.123;
17  ;BRDE                                                  ;I;2  ;         ;12/1994;696.312;79;111.562;8.123;0;0;566.855;-798;4.600;2.147;1.762;1.983;
18  ;BDMG                                                  ;I;2  ;         ;12/1994;693.290;17;6.124;216.170;5.594;0;396.851;-5.775;51.999;1.422;0;20.888;
